,qid,query
0,0,polar bears driven to extinction by global warming
1,5,"Scientists warn of freezing weather, earthquakes, and famine due to sun's lockdown"
2,6,polar bear population growing
3,9,co2 cooling planet
4,10,Human additions of CO2
5,11,"They tell us we control Earth temps by burning fossil fuels, releasing CO2"
6,14,widespread bleaching on the great barrier reef
7,18,it's not a pollutant
8,19,"Installing CO2 generator in greenhouse, killing plants"
9,21,Sea level rise pre-industrialization
10,27,Earth entering mini ice age
11,28,West Antarctic glaciers melting due to volcanoes
12,30,Arsonists and lightning strikes causing Australian bushfires
13,31,Discovery of massive volcanic CO2 emissions discredits global warming theory
14,33,Harvard study finds wind turbines create more global warming than fossil fuels
15,35,Iceberg melts ocean level stays the same
16,36,When experts claim global warming
17,38,Scientists warn Antarctica sea ice rise sparks next ice age
18,41,Over 500 scientists and professionals send European climate declaration to UN Secretary General
19,42,Sea level rise in Sydney Harbour over 140 years
20,44,Human produced carbon not significant factor
21,51,CO2 responding to climate change
22,55,Raw data US cooling 80-90 years
23,57,"Earth's temperature over the last 2,000 years shows two previous periods when temperatures were warmer than they are now."
24,60,greenhouse gases cause half of global warming
25,61,NASA adjusts past temperatures
26,65,A windmill's energy output is limited.
27,67,Fifty-five thousand years ago global temperatures were 2°C warmer
28,69,Sea level rise
29,71,Solar minimum to deepen
30,72,One of the previously fastest shrinking glaciers
31,74,models predicted 3x more warming since 1988
32,75,Climate change makes extreme weather events worse
33,76,cows' burps and car emissions
34,77,unspot activity on our star
35,79,Rate of warming slower than IPCC models
36,82,atmospheric residency time of carbon dioxide
37,85,sea level rise doesn't depend on ocean temperature or CO2
38,86,There is no empirical evidence for their claim that greenhouse gases
39,87,"Noaa adjusts past temps to look colder, recent temps to look warmer"
40,91,They're setting records
41,93,"Temperatures in Australia increased by 0.3 degrees over the past century, not 1 degree as claimed."
42,95,Global warming makes Hurricane Harvey worse
43,96,IPCC states no increase in extreme weather events
44,97,According to official figures
45,98,Trump's actions pushing Earth towards Venus-like conditions
46,99,likely ocean waters control knob climate change
47,100,"Global warming not a myth, 80 graphs from 58 peer-reviewed papers"
48,101,late twentieth century surface warming 1979-2000 within normal variability
49,102,Forward projections of solar cyclicity imply global cooling
50,103,Global warming ceased since 1997
51,104,CO2 and temperature increasing
52,105,CO2 levels not forcing temperature rise
53,108,Sea level rise
54,109,Local and regional sea level variability
55,113,temperature rise not as fast as predicted
56,118,Human-induced warming
57,120,"Coral reefs disappearing due to global warming, pollution, and overdevelopment"
58,123,warming not as great as climate change predictions
59,126,El Niño drove record highs in global temperatures
60,127,atmospheric carbon dioxide raising global food production reducing poverty
61,128,Sea level rise not accelerating
62,129,Sea level rise by 2100
63,132,Climate change worsens natural disasters
64,133,Land used for meat declining by area nearly as large as Alaska
65,135,Carbon emissions decline rich nations Britain Germany France
66,137,Preventing future pandemics requires more industrial agriculture
67,138,Climate change to make humanity extinct
68,139,British children having nightmares about climate change
69,141,Greenpeace saved whales
70,142,Worst case global heating scenarios may need to be revised upwards due to cloud role.
71,143,climate sensitivity to carbon emissions
72,148,IPCC reports assumed cloud impact neutral due to cancelling warming/cooling feedbacks
73,152,More studies on cloud and aerosol role in climate change
74,157,geological context of global warming
75,161,Extreme melting and climate change
76,163,Size of SIF
77,164,big increases in extremely hot days from small temperature increases
78,165,"When leaders approach federal government in April, drawing on decades of data"
79,168,"As temp increases, ability to link events to climate change"
80,169,Model likelihood of events under historical vs current temperatures
81,171,We'll face extreme heat
82,173,invisible carbon emissions
83,180,reeef material contains calcium carbonate with carbon dioxide
84,181,Reefs need carbon dioxide
85,184,Carbon dioxide drives global warming
86,185,carbon dioxide drives climate change
87,189,planetary climate changes not driven by trace gas
88,190,Climate change
89,194,water vapour
90,195,Carbon dioxide non-condensable gas
91,196,life without carbon dioxide
92,197,plants need nearly triple current CO2 levels
93,198,Horticulturalists pump CO2 into glasshouses to boost yields
94,199,warming has never been a threat to life on earth
95,200,carbon dioxide levels halved
96,203,no correlation between CO2 emissions and temperature
97,204,After orbital warming CO2 increases
98,207,atmospheric carbon dioxide content during major past ice ages
99,211,climate change
100,214,Scientists underestimate severity of threats due to need for consensus.
101,216,The Antarctic ice sheets were stable according to the 1990 IPCC report.
102,220,Hurricane Harvey's impact on Houston
103,230,Antarctic ice sheet demise
104,235,average global temperature rise
105,236,Global temperatures risen 0-1.3°C/0-2.4°F per decade
106,237,Warming trend slower than forecast
107,240,IPCC predicted temperature rise by 0.54°F/0.3°C per decade in 1990
108,243,IPCC's 5th assessment report estimating human emissions responsible for half of global temperature increase
109,244,rise coming from elsewhere
110,246,carbon dioxide concentration rose after temperatures climbed
111,248,water vapour makes up 95% of total greenhouse gases
112,250,CO2 makes the planet greener
113,254,Funding for climate change research disputing its existence is mostly available from oil companies.
114,256,Medieval Warm Period (MWP) and Little Ice Age
115,257,MWP hottest than today
116,258,period caused headache for climate scientists due to swift warming
117,261,IPCC's Jonathan Overpeck's 1995 email about getting rid of Medieval Warm Period
118,263,Dr. Michael Mann's dataset combines tree rings and thermometer readings.
119,266,IPCC no longer includes hockey stick chart
120,267,Natural climate system can change abruptly
121,268,"Solar activity influences climate, CO2 not as important"
122,272,melting ice and global sea level rise
123,275,Temperature increases slowing down since 1998
124,279,"Phil Jones' ""trick"" hid temperature decline"
125,281,Dr. Jones admits no global warming since 1995
126,282,retract 2007 report himalayan glaciers melt
127,284,climate scientist agreement on global warming
128,287,"Climate skeptics argue temperature records adjusted to make past appear cooler, present warmer"
129,293,replacing old equipment requires recalibration
130,294,Urgent message from 500 scientists and professionals
131,296,Little Ice Age ended 1850
132,298,recent warming is chiefly anthropogenic
133,302,Climate models ignore CO2 enrichment benefits
134,305,no statistical evidence global warming intensifies floods
135,306,no statistical evidence global warming intensifies droughts
136,307,"wind turbines harm birds and insects, palm oil destroys rainforest biodiversity"
137,310,Data show slight warming
138,311,no systematic increase in extreme weather events
139,313,compare actual temperatures to model predictions since 1979
140,316,models predict 7x more warming than observed
141,319,Most tropical ocean moisture
142,320,Globally averaged thermometers show two periods of warming since 1900.
143,322,Ocean surface temperature calculation adjusted to use drifting buoys and ship water intakes.
144,331,"early years tend to be colder, increasing warming trend"
145,332,Shelters in poorer countries' repainting frequency affects solar energy absorption.
146,335,Last June's record-breaking heatwave
147,337,Temperatures above normal France Germany Spain
148,338,Rapid assessment of France's June temps show increased heatwave likelihood due to human-caused global warming.
149,340,Heatwaves becoming more likely due to climate change
150,342,"While media nods to weather extreme claims, evidence differs"
151,343,trends towards rising climate damages due to increased population and economic activity
152,344,no clear evidence of trends and patterns in extreme events
153,348,no trend in hurricane related flooding US
154,349,no evidence of global flood increase
155,350,more us areas saw decrease in flooding since 1965
156,351,"Flood damage as a percentage of GDP, from 1940 to present, decreased to less than 0.05% annually from around 0.2%."
157,353,no solid connection between climate change and extreme weather
158,356,"catastrophic possibilities, existential risks"
159,357,humanity faces irreversible collapse by 2050
160,358,Existential climate-related security risk 30 years into the future
161,362,extreme weather events in north america
162,363,"Monsoon failure in China, impact on Asia's great rivers, and reduced rainfall in Central America"
163,365,knock on consequences affecting national security due to pandemic disease outbreaks
164,366,Armed conflicts over resources escalating into nuclear war
165,368,most recent IPCC report on 1.5°C vs 2°C
166,369,"By 2050, Greenland and West Antarctic ice sheet tipping point"
167,373,"Like countless other organisms, we move and adapt"
168,375,Australia's emissions reduction having no effect on global climate
169,376,carbon dioxide levels were high during past plant life explosions
170,377,carbon dioxide content of atmosphere
171,378,Earth's changes over thousands of millions of years
172,381,Subsidies for wind and solar increase emissions due to coal-fired electricity being kept online.
173,382,energy consumption of solar and wind facilities
174,383,Renewables' impact on electricity prices and reliability
175,386,Renewable energy sources like wind turbines are environmentally disastrous.
176,388,climate change
177,390,no ice sheets covering greenland west antarctica east antarctic ice sheet gone
178,392,debunking man-made global warming
179,398,Earth's natural climate cycles
180,399,Climate change heat records massive data manipulation
181,400,Climate change and heat records in global warming debate
182,401,"On Feb 7, NASA/NOAA declare warmest years on record"
183,404,Actual weather records over past 100 yrs show no CO2 & local temps
184,409,"Record highs increasing, record lows decreasing"
185,412,"From 1970 to 1998, a warming period"
186,413,"since 1998, carbon dioxide emissions increasing"
187,418,"worsening food shortages, wildfires, coral reef die-off by 2040"
188,419,Effects of 2.7°C warming
189,420,International Energy Agency sees a role for coal in the future
190,424,Sea levels rise at different rates worldwide.
191,428,Brooks added Antarctic ice growing
192,430,Antarctica's ice sheet above land is increasing
193,432,20th century average global temperature measurements
194,434,it is a sufficiently long period to include several climate variability cycles
195,435,NOAA's analysis found April globally
196,436,unusual heat in europe and australia
197,441,Earth's 5th warmest start to the year
198,442,no empirical evidence increasing greenhouse gases primary cause global warming
199,443,Carbon dioxide levels
200,444,Carbon dioxide
201,446,Water vapor in clouds cause most of Earth's greenhouse effect.
202,447,Nature puts 20x more CO2 into atmosphere than Earth's industries
203,449,Global warming models incorrect
204,450,Double atmospheric carbon dioxide
205,451,carbon dioxide cycle controlling water cycle
206,452,Climate change is natural
207,454,greenhouse gases insignificant
208,455,Climate scientists predict cooling
209,457,"Temperatures rise and fall over 400 years, with a gentle warming trend since the Little Ice Age."
210,461,"Temperatures cooled 1940-1975, then rose 1975-2005, now flat/cooling"
211,463,How did natural factors contribute to 20th century warming?
212,467,South Pole ice getting thicker
213,469,Ocean levels rising
214,470,Globally averaged temperature above 20th century average
215,473,La Niña features cooler waters in the Pacific
216,474,Sea ice decline
217,477,Halting deforestation
218,478,restoring forests to reduce emissions by 2030
219,482,Report focuses on energy system changes
220,484,forests as carbon sink
221,487,losing biodiversity due to climate change
222,488,losing tropical forests vs putting up wind farms in US/Sahara
223,490,IPCC report warns world not on track to meet Paris commitments
224,492,"claims on global warming's effect are small, temporary, and likely due to natural weather patterns"
225,493,Coastal Gulf of Mexico sediments 1000-2000 years ago suggest more frequent/intense hurricanes.
226,494,Massachusetts Bay Colony 1635 storm
227,495,"Storm in New England, 1675"
228,496,Nine-year hurricane drought
229,498,most costly hurricanes in us history
230,499,monetary cost of damages increasing due to population growth and infrastructure
231,502,Abnormal February temperatures leave Arctic vulnerable
232,503,Polar vortex eroding
233,506,most climate models over 30 years underestimated actual outcomes due to CO2-centric assumptions
234,508,climate projections assume planet earth is not dynamic
235,512,carbon dioxide's effect on global climate
236,516,"For the past 4.5 billion years, sun and Earth's orbit driving climate change cycles"
237,519,Since then planet cooling
238,520,about 25% of atmospheric carbon dioxide from human activities over 250 years
239,527,evolving planet survived sea level changes
240,528,evolving planet surviving mass extinctions
241,530,South Australia's grid is unreliable and expensive.
242,531,When Australians buy electricity
243,532,reduced query: emissions of carbon dioxide from wind/solar industrial complexes
244,534,domino effect of climate events moving earth to hothouse state
245,538,"Weakening carbon sinks will add 0.25°C, forest dieback 0.11°C, permafrost thaw 0.09°C, increased bacterial respiration 0.02°C"
246,539,Earth's temperature wants to continue warming
247,540,Europe's unexpected heatwave despite only 1C warming
248,548,jet stream controls weather patterns
249,549,extent of climate change's influence on jet stream
250,550,Last year's evidence on stuck jet streams and Arctic warming
251,551,Gone are the days when scientists distinguish between weather and climate
252,554,heaviest precipitation events becoming more frequent and extreme
